city,country,macro_region,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_spatial_null,pc_spatial_null_ci_low,pc_spatial_null_ci_high,spatial_null_gap,road_minus_spatial,spatial_fraction_of_road_gap,remaining_fraction_after_spatial,threshold_boundary_hit,runtime_seconds,swap_fraction_target,n_perm,n_bootstrap,length_bins,bin_tolerance,status,accepted_swaps,attempted_swaps,acceptance_rate,accepted_swaps_per_edge,degree_max_abs_drift,chord_length_mean_ratio,chord_length_median_ratio,chord_length_bin_tvd,length_rejects,topology_rejects,notes
Montevideo,Uruguay,Latin America,13761,22450,0.4069683126676818,0.6,0.1930316873323181,0.525,0.525,0.55,0.11803168733231822,0.07499999999999996,0.611462754967883,0.38853724503211745,False,0.6684784889221191,0.02,6,80,12,1,pass,449.0,17380.0,0.025834292289988493,0.02,0.0,3.377184117851803,1.0,0.0178173719376392,16927.0,4.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Panama City,Panama,Latin America,9245,12302,0.4936399020906064,0.725,0.2313600979093936,0.625,0.6,0.6256249999999998,0.13136009790939362,0.09999999999999998,0.5677733502725155,0.4322266497274845,False,0.34659838676452637,0.02,6,80,12,1,pass,246.0,8898.0,0.027646662171274445,0.019996748496179485,0.0,3.339956598807503,1.0,0.017151682653227113,8649.0,3.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Delhi,India,Asia,59302,85866,0.4689645379225219,0.7,0.231035462077478,0.6,0.575,0.6,0.13103546207747807,0.09999999999999998,0.5671660138197104,0.4328339861802898,False,2.4457459449768066,0.02,6,80,12,1,pass,1717.0,61124.0,0.02809043910738826,0.019996273262991172,0.0,6.462983201646443,1.0,0.017888337642373,59403.0,4.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Chennai,India,Asia,42444,56880,0.498448919501551,0.725,0.2265510804984489,0.6,0.6,0.625,0.10155108049844896,0.125,0.448248051940517,0.5517519480594832,False,1.6237809658050537,0.02,6,80,12,1,pass,1138.0,41311.0,0.027547142407591197,0.0200070323488045,0.0,4.9100641087184265,1.0,0.017528129395218,40165.0,8.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Hyderabad,India,Asia,98461,132094,0.4881558622014944,0.75,0.2618441377985055,0.625,0.6,0.625,0.13684413779850563,0.125,0.5226167709884344,0.477383229011566,False,3.799877405166626,0.02,6,80,12,1,pass,2642.0,97712.0,0.0270386441788112,0.02000090844398686,0.0,7.24656504700227,1.0,0.01755568004602783,95066.0,4.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Karachi,Pakistan,Asia,52156,78992,0.4466206054300997,0.675,0.2283793945699003,0.575,0.55,0.575,0.12837939456990027,0.10000000000000009,0.5621321258499399,0.4378678741500604,False,2.294527053833008,0.02,6,80,12,1,pass,1580.0,57713.0,0.027376847504028554,0.020002025521571806,0.0,5.326773114999482,1.0,0.017191614340692725,56126.0,7.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Dhaka,Bangladesh,Asia,35890,47996,0.501127631139325,0.725,0.2238723688606749,0.625,0.6,0.65,0.12387236886067499,0.09999999999999998,0.5533169166480116,0.44668308335198853,False,1.371882438659668,0.02,6,80,12,1,pass,960.0,34294.0,0.027993234968216013,0.02000166680556713,0.0,4.618980283477574,1.0,0.016938911575964666,33329.0,5.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Hanoi,Vietnam,Asia,29320,39886,0.4889668023341342,0.75,0.2610331976658657,0.6,0.6,0.625,0.11103319766586578,0.15000000000000002,0.42536044709528975,0.5746395529047107,False,1.1371569633483887,0.02,6,80,12,1,pass,798.0,29672.0,0.026894041520625505,0.020007020007020006,0.0,4.512128108385036,1.0,0.017199017199017202,28868.0,6.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Ho Chi Minh City,Vietnam,Asia,40466,51958,0.5059497146863499,0.725,0.2190502853136501,0.6,0.6,0.625,0.09405028531365012,0.125,0.429354772028637,0.5706452279713632,False,1.4649591445922852,0.02,6,80,12,1,pass,1039.0,35883.0,0.028955215561686592,0.019996920589707073,0.0,5.084550641684101,1.0,0.017283190269063477,34835.0,9.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Singapore,Singapore,Asia,13478,19430,0.4668204315025708,0.675,0.2081795684974292,0.6,0.6,0.6,0.13317956849742918,0.07500000000000007,0.6397340981090266,0.36026590189097374,False,0.5190014839172363,0.02,6,80,12,1,pass,389.0,12931.0,0.030082746887325033,0.02002058672156459,0.0,3.3954064589965918,1.0000243243109903,0.01770458054554811,12534.0,8.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Hong Kong,China,Asia,9035,13245,0.4651775366136339,0.675,0.2098224633863661,0.6,0.6,0.625,0.13482246338636605,0.07500000000000007,0.6425549543668477,0.3574450456331523,False,0.3690009117126465,0.02,6,80,12,1,pass,265.0,9407.0,0.028170511321356437,0.020007550018875046,0.0,3.185189653595269,1.0,0.017365043412608527,9138.0,4.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Osaka,Japan,Asia,92460,138690,0.4467357272621854,0.625,0.1782642727378145,0.525,0.525,0.525,0.07826427273781461,0.09999999999999998,0.4390350996069933,0.5609649003930072,False,3.997652292251587,0.02,6,80,12,1,pass,2774.0,100904.0,0.027491477047490685,0.020001442065037133,0.0,6.554813101150374,1.0,0.0176652967048814,98122.0,8.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Sydney,Australia,Oceania,22215,31013,0.487296324811841,0.7,0.2127036751881589,0.625,0.6,0.625,0.137703675188159,0.07499999999999996,0.647396783653811,0.3526032163461892,False,0.8846218585968018,0.02,6,80,12,1,pass,620.0,22835.0,0.027151302824611343,0.019991616418921096,0.0,4.0476893562182195,1.0,0.017250830296972247,22211.0,4.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Melbourne,Australia,Oceania,35052,51621,0.4686087256486138,0.7,0.2313912743513861,0.6,0.6,0.6,0.1313912743513862,0.09999999999999998,0.5678315862155549,0.4321684137844455,False,1.4898862838745117,0.02,6,80,12,1,pass,1032.0,38110.0,0.027079506691157176,0.01999186377637008,0.0,5.13436097716281,1.0,0.018267759245268397,37074.0,4.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Auckland,New Zealand,Oceania,12533,16775,0.5044505924099357,0.725,0.2205494075900642,0.65,0.65,0.65,0.1455494075900643,0.07499999999999996,0.6599401430295264,0.3400598569704738,False,0.4711275100708008,0.02,6,80,12,1,pass,336.0,11460.0,0.02931937172774869,0.020029806259314456,0.0,3.7030878830052463,1.0,0.01794336810730253,11117.0,7.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Brisbane,Australia,Oceania,25339,35174,0.4911197989388439,0.7,0.208880201061156,0.625,0.624375,0.625,0.1338802010611561,0.07499999999999996,0.6409425133689843,0.359057486631016,False,0.9981639385223389,0.02,6,80,12,1,pass,703.0,25181.0,0.027917874587983,0.01998635355660431,0.0,4.142153468240216,1.0,0.018109967589696935,24471.0,7.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
