city,country,macro_region,swap_fraction,n_replicates_total,n_replicates_pass,n_replicates_fail,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_geometry_null_mean,geometry_null_gap_mean,road_minus_geometry_mean,geometry_fraction_of_road_gap_mean,remaining_fraction_after_geometry_mean,accepted_swaps_per_edge_mean,acceptance_rate_mean,length_bin_tvd_mean,degree_max_abs_drift_max,threshold_boundary_hits,null_mobility_index_mean,runtime_seconds_mean,pc_spatial_null,spatial_null_gap,road_minus_spatial,remaining_fraction_after_spatial,geometry_vs_spatial_residual_change
Chennai,India,Asia,0.02,3,3,0,42444,56880,0.498448919501551,0.725,0.2265510804984489,0.725,0.22655108049844888,0.0,1.0000000000000002,0.0,0.0200070323488045,0.0016279056027825667,0.0,0,0,0.010367605915982599,44.11225207646688,0.6,0.1015510804984489,0.125,0.5517519480594832,-0.125
Chicago,United States,North America,0.01,3,3,0,13260,21830,0.3959947031400221,0.6,0.2040052968599778,0.6083333333333333,0.21233863019331115,-0.008333333333333333,1.0408486125683938,-0.0408486125683935,0.0099862574438845,0.0012613662290002334,0.0,0,0,0.007597716547153633,13.572782357533773,0.5,0.1040052968599778,0.0999999999999999,0.4901833508207217,-0.10833333333333323
Chicago,United States,North America,0.02,3,3,0,13260,21830,0.3959947031400221,0.6,0.2040052968599778,0.6083333333333333,0.21233863019331115,-0.008333333333333333,1.0408486125683938,-0.0408486125683935,0.0200183234081539,0.0012288256548736666,0.0,0,0,0.0144258070747541,24.75557041168213,0.5,0.1040052968599778,0.0999999999999999,0.4901833508207217,-0.10833333333333323
Dakar,Senegal,Africa,0.01,3,3,0,28624,43129,0.4600377595972308,0.7,0.2399622404027691,0.6916666666666668,0.2316289070694358,0.0083333333333333,0.965272314013463,0.03472768598653713,0.0099932759859955,0.0015943708384721,0.0,0,0,0.005428024282935134,18.17721350987752,0.575,0.1149622404027691,0.125,0.5209152897980591,-0.1166666666666667
Dakar,Senegal,Africa,0.02,3,3,0,28624,43129,0.4600377595972308,0.7,0.2399622404027691,0.6833333333333332,0.2232955737361025,0.0166666666666666,0.9305446280269258,0.06945537197307426,0.0200097382271789,0.0015884298730857998,0.0,0,0,0.010225811973076933,35.04207460085551,0.575,0.1149622404027691,0.125,0.5209152897980591,-0.10833333333333339
Dar es Salaam,Tanzania,Africa,0.01,3,3,0,22312,29826,0.5075988359230076,0.775,0.2674011640769924,0.7666666666666666,0.2590678307436591,0.008333333333333333,0.9688358374874769,0.031164162512523463,0.0099912827734191,0.001927488752147,0.0,0,0,0.0035742335742499666,10.388996601104736,0.625,0.1174011640769924,0.15,0.5609549252254219,-0.14166666666666666
Dar es Salaam,Tanzania,Africa,0.02,3,3,0,22312,29826,0.5075988359230076,0.775,0.2674011640769924,0.7583333333333333,0.2507344974103257,0.016666666666666666,0.9376716749749532,0.06232832502504687,0.02001609334138,0.0019570592476998,0.0,0,0,0.007058398501582366,18.968818108240765,0.625,0.1174011640769924,0.15,0.5609549252254219,-0.13333333333333333
Delhi,India,Asia,0.01,3,3,0,59302,85866,0.4689645379225219,0.7,0.231035462077478,0.6999999999999998,0.23103546207747802,0.0,1.0000000000000002,0.0,0.0100039596580718,0.001993472847705,0.0,0,0,0.0054658990324049335,32.418322483698525,0.6,0.131035462077478,0.0999999999999999,0.4328339861802898,-0.0999999999999999
Delhi,India,Asia,0.02,3,3,0,59302,85866,0.4689645379225219,0.7,0.231035462077478,0.6999999999999998,0.23103546207747802,0.0,1.0000000000000002,0.0,0.0199962732629911,0.0018825374795368001,0.0,0,0,0.010544150976186432,63.53676025072733,0.6,0.131035462077478,0.0999999999999999,0.4328339861802898,-0.0999999999999999
Dhaka,Bangladesh,Asia,0.01,3,3,0,35890,47996,0.501127631139325,0.725,0.2238723688606749,0.725,0.22387236886067488,0.0,1.0000000000000002,0.0,0.0100008334027835,0.0021893821733884665,0.0,0,0,0.004026114410504233,16.155598163604736,0.625,0.1238723688606749,0.0999999999999999,0.4466830833519885,-0.0999999999999999
Dhaka,Bangladesh,Asia,0.02,3,3,0,35890,47996,0.501127631139325,0.725,0.2238723688606749,0.725,0.22387236886067488,0.0,1.0000000000000002,0.0,0.0200016668055671,0.002124615717716933,0.0,0,0,0.008166974083977332,30.49720819791158,0.625,0.1238723688606749,0.0999999999999999,0.4466830833519885,-0.0999999999999999
Dubai,United Arab Emirates,Middle East,0.01,3,3,0,15724,22720,0.4908611675236571,0.725,0.2341388324763428,0.7083333333333334,0.21747216580967613,0.016666666666666666,0.9288171616369935,0.07118283836300694,0.0099911971830985,0.0021951587169068997,0.0,0,0,0.0027843926419387666,7.57450532913208,0.65,0.1591388324763429,0.0749999999999999,0.320322772633531,-0.05833333333333324
Dubai,United Arab Emirates,Middle East,0.02,3,3,0,15724,22720,0.4908611675236571,0.725,0.2341388324763428,0.6999999999999998,0.2091388324763428,0.025000000000000005,0.8932257424554898,0.1067742575445104,0.0199823943661971,0.0020865575840713665,0.0,0,0,0.005321736585446567,16.38391470909119,0.65,0.1591388324763429,0.0749999999999999,0.320322772633531,-0.04999999999999989
