city,country,macro_region,swap_fraction,n_replicates_total,n_replicates_pass,n_replicates_fail,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_geometry_null_mean,geometry_null_gap_mean,road_minus_geometry_mean,geometry_fraction_of_road_gap_mean,remaining_fraction_after_geometry_mean,accepted_swaps_per_edge_mean,acceptance_rate_mean,length_bin_tvd_mean,degree_max_abs_drift_max,threshold_boundary_hits,null_mobility_index_mean,runtime_seconds_mean,pc_spatial_null,spatial_null_gap,road_minus_spatial,remaining_fraction_after_spatial,geometry_vs_spatial_residual_change,bridge_edge_share,articulation_point_share,largest_biconnected_node_fraction,dual_degree_mean,angular_entropy,straight_angle_share_10deg,cycle_density,dead_end_share,kappa,geometry_absorption,geometry_absorption_fraction_of_road_gap
Dhaka,Bangladesh,Asia,0.005,1,1,0,35890,47996,0.501127631139325,0.725,0.2238723688606749,0.725,0.2238723688606749,0.0,1.0000000000000002,0.0,0.0050004167013917,0.0020656533489404,0.0,0,0,0.0031253686383481,9.252557516098022,0.625,0.1238723688606749,0.0999999999999999,0.4466830833519885,-0.0999999999999999,0.184557046420535,0.2101142379492895,0.7428531624407914,3.990999249937495,0.779958945609753,0.2372515035081857,0.3373363053775425,0.2112008916132627,2.995499624968748,0.0999999999999999,0.4466830833519882
Dubai,United Arab Emirates,Middle East,0.005,1,1,0,15724,22720,0.4908611675236571,0.725,0.2341388324763428,0.725,0.2341388324763428,0.0,1.0000000000000004,0.0,0.0050176056338028,0.0022001350960146,0.0,0,0,0.0033051004179095,4.122533321380615,0.65,0.1591388324763429,0.0749999999999999,0.320322772633531,-0.0749999999999999,0.065625,0.0896718392266598,0.8635207326380056,4.074471830985916,0.914141459749442,0.2073845223177634,0.4449885525311625,0.0742177562961078,3.037235915492958,0.0749999999999999,0.32032277263353076
Hanoi,Vietnam,Asia,0.005,1,1,0,29320,39886,0.4889668023341342,0.75,0.2610331976658657,0.7,0.2110331976658657,0.05,0.8084534823650967,0.1915465176349036,0.0049892192749335,0.0017307207277724,0.0,0,0,0.0027697345964684,8.50075387954712,0.6,0.1110331976658657,0.15,0.5746395529047107,-0.0999999999999999,0.1730933159504588,0.2022169167803547,0.733663028649386,4.090257233114376,0.7935828776568334,0.2456234982592066,0.3604024556616644,0.198738062755798,3.045128616557188,0.09999999999999999,0.38309303526980704
Ho Chi Minh City,Vietnam,Asia,0.005,1,1,0,40466,51958,0.5059497146863499,0.725,0.2190502853136501,0.725,0.2190502853136501,0.0,1.0000000000000002,0.0,0.0050040417260094,0.0017368765615188,0.0,0,0,0.0026943539531247,11.283889532089232,0.6,0.0940502853136501,0.125,0.5706452279713632,-0.125,0.2729319835251549,0.2755152473681609,0.6051500024712104,3.952962007775511,0.7630877871360242,0.258106607980992,0.2840162111402164,0.2707458112983739,2.976481003887755,0.125,0.5706452279713632
Hong Kong,China,Asia,0.005,1,1,0,9035,13245,0.4651775366136339,0.675,0.2098224633863661,0.625,0.159822463386366,0.05,0.7617033029112319,0.2382966970887682,0.0049830124575311,0.0016969198333933,0.0,0,0,0.0032781249079875,2.693803548812866,0.6,0.134822463386366,0.075,0.3574450456331523,-0.0249999999999999,0.0914307285768214,0.1147758716104039,0.8293303818483675,4.299433748584372,0.903286833886758,0.2018052189793839,0.466076369673492,0.1014941892639734,3.149716874292185,0.024999999999999994,0.11914834854438398
Hyderabad,India,Asia,0.005,1,1,0,98461,132094,0.4881558622014944,0.75,0.2618441377985055,0.725,0.2368441377985056,0.025,0.9045233541976871,0.0954766458023132,0.0049964419277181,0.0016512219042091,0.0,0,0,0.0028203290836522,32.23518085479736,0.625,0.1368441377985056,0.125,0.477383229011566,-0.1,0.1935591321331778,0.2195387006022689,0.7269375691898315,4.097052099262647,0.7197973338100786,0.2619975018292818,0.3415971806095814,0.2298473507276993,3.048526049631324,0.1,0.3819065832092528
Istanbul,Turkey,Middle East,0.005,1,1,0,48682,72909,0.4613033850047454,0.675,0.2136966149952546,0.675,0.2136966149952546,0.0,1.0000000000000002,0.0,0.0050062406561604,0.0017821221412807,0.0,0,0,0.0016335932762016,15.754135608673096,0.575,0.1136966149952545,0.1,0.4679531306671409,-0.1,0.0583878533514381,0.0808923215973049,0.9074195801322872,4.335541565513174,0.8524399298520767,0.2186839607719076,0.497678813524506,0.0792284622653136,3.167770782756586,0.1,0.46795313066714056
Jakarta,Indonesia,Asia,0.005,1,1,0,50166,65445,0.512325721577254,0.7,0.1876742784227459,0.725,0.212674278422746,-0.025,1.133209517095818,-0.1332095170958177,0.0049965619986247,0.0019092549234838,0.0,0,0,0.0024508479573564,13.512893915176392,0.625,0.112674278422746,0.0749999999999999,0.3996285512874525,-0.0999999999999999,0.2114600045840018,0.2372124546505601,0.7020491966670653,3.9037665215066086,0.7574345530580631,0.2528710437525931,0.3045887652992066,0.2342024478730614,2.9518832607533043,0.0999999999999999,0.5328380683832699
Johannesburg,South Africa,Africa,0.005,1,1,0,22312,32632,0.454250595097234,0.65,0.195749404902766,0.675,0.220749404902766,-0.025,1.1277143090801132,-0.1277143090801129,0.0049950968374601,0.0025714646305294,0.0,0,0,0.0022025113685897,5.251912593841553,0.575,0.1207494049027659,0.075,0.3831429272403387,-0.1,0.1165420446187791,0.1462889924704195,0.8096091789171747,4.402856092179456,0.8166503042305362,0.2423820593844397,0.4625761921835783,0.1390731444962352,3.2014280460897275,0.1,0.5108572363204512
Kampala,Uganda,Africa,0.005,1,1,0,35927,41391,0.574452139397388,0.825,0.2505478606026119,0.825,0.2505478606026119,0.0,1.0,0.0,0.005001087192868,0.0016187050359712,0.0,0,0,0.0018842023568127,9.238775730133057,0.7,0.1255478606026119,0.125,0.4989066747540884,-0.125,0.3796719093522746,0.360620146407994,0.553483452556573,3.4815781208475274,0.8615827932515798,0.2004357903210137,0.1521140089626186,0.361761349402956,2.740789060423764,0.125,0.49890667475408845
Karachi,Pakistan,Asia,0.005,1,1,0,52156,78992,0.4466206054300997,0.675,0.2283793945699003,0.675,0.2283793945699003,0.0,1.0000000000000002,0.0,0.0050005063803929,0.0021962868851091,0.0,0,0,0.003607843905991,15.086737632751465,0.575,0.1283793945699002,0.1,0.4378678741500604,-0.1,0.0725136722706096,0.0984354628422425,0.8753930516143876,4.478073728985214,0.6655118280726464,0.2841473205703753,0.5145524963570826,0.0978794386072551,3.2390368644926064,0.1,0.43786787415006
Kuala Lumpur,Malaysia,Asia,0.005,1,1,0,37213,50999,0.4969016115517276,0.7,0.2030983884482723,0.7,0.2030983884482723,0.0,1.0000000000000004,0.0,0.005000098041138,0.0016462658816237,0.0,0,0,0.0020108651977719,11.545103549957275,0.625,0.1280983884482724,0.0749999999999999,0.3692791487565245,-0.0749999999999999,0.1520814133610463,0.1787816085776476,0.7482331443312821,4.024941665522854,0.8430059739231269,0.2281797455034394,0.3704888076747373,0.1679789320936232,3.0124708327614265,0.0749999999999999,0.3692791487565243
Lagos,Nigeria,Africa,0.005,1,1,0,13226,17952,0.4953369019369792,0.75,0.2546630980630208,0.725,0.2296630980630207,0.025,0.9018310851075356,0.0981689148924644,0.0050133689839572,0.0022276676319893,0.0,0,0,0.0020825139123162,3.106520652770996,0.625,0.1296630980630208,0.125,0.4908445744623219,-0.1,0.1714572192513369,0.1963556630878572,0.7547255406018448,4.037655971479501,0.8008417069141635,0.2299541967882567,0.3574020867987297,0.1945410554967488,3.01882798573975,0.1,0.39267565956985756
Lima,Peru,Latin America,0.005,1,1,0,49410,75796,0.4428345242198864,0.65,0.2071654757801135,0.65,0.2071654757801136,0.0,1.0000000000000009,0.0,0.005000263866167,0.0018361780365975,0.0,0,0,0.0032190326876502,15.939325332641602,0.55,0.1071654757801136,0.0999999999999999,0.4827059123796307,-0.0999999999999999,0.0599371998522349,0.0830803481076705,0.901457194899818,4.5163597023589634,0.7069716318932742,0.2735377802186245,0.5340416919651892,0.0817041084800647,3.258179851179482,0.0999999999999999,0.48270591237963034
Lisbon,Portugal,Europe,0.005,1,1,0,26686,36745,0.4955161486076462,0.75,0.2544838513923538,0.75,0.2544838513923538,0.0,1.0,0.0,0.0050074840114301,0.0019370460048426,0.0,0,0,0.0013378832495381,7.148107767105103,0.625,0.1294838513923538,0.125,0.4911903027091476,-0.125,0.1377058103143285,0.1661920107921756,0.7744135501761223,4.036195400734794,0.902032206041917,0.1909783561459106,0.3769766918983737,0.1549126883009818,3.018097700367397,0.125,0.4911903027091476
London,United Kingdom,Europe,0.005,1,1,0,48353,62602,0.5199847165924646,0.775,0.2550152834075354,0.775,0.2550152834075354,0.0,1.0000000000000002,0.0,0.0049998402606945,0.0019327907522446,0.0,0,0,0.0018234958861413,12.820701599121094,0.65,0.1300152834075354,0.125,0.4901667003237595,-0.125,0.2245934634676208,0.2349388869356606,0.6927181353793973,3.846266892431552,0.8289648594074925,0.2363030766163864,0.2947076706719335,0.2249084855127913,2.923133446215776,0.125,0.49016670032375953
Los Angeles,United States,North America,0.005,1,1,0,22280,34611,0.4249303262083952,0.6,0.1750696737916047,0.6,0.1750696737916047,0.0,1.0000000000000002,0.0,0.0049984109098263,0.0020047279132288,0.0,0,0,0.0034741579059455,6.70653510093689,0.525,0.1000696737916048,0.0749999999999999,0.4284008667844819,-0.0749999999999999,0.0706711739042501,0.0994614003590664,0.8886445242369838,4.706653953945278,0.7227487201862087,0.2758713827945636,0.5535008976660682,0.100359066427289,3.353326976972639,0.0749999999999999,0.42840086678448164
Manila,Philippines,Asia,0.005,1,1,0,25142,36895,0.4492979529208324,0.65,0.2007020470791676,0.65,0.2007020470791676,0.0,1.0,0.0,0.0049871256267786,0.0018077497445571,0.0,0,0,0.0030009198587562,7.598220348358154,0.575,0.1257020470791675,0.075,0.3736882662209023,-0.075,0.1144599539232958,0.1476413968658022,0.8080502744411742,4.451389077110719,0.7635561451693045,0.2574497363517907,0.4675045740195688,0.1446185665420412,3.22569453855536,0.075,0.373688266220902
Melbourne,Australia,Oceania,0.005,1,1,0,35052,51621,0.4686087256486138,0.7,0.2313912743513861,0.7,0.2313912743513861,0.0,1.0000000000000004,0.0,0.0049979659440925,0.0026496323378383,0.0,0,0,0.0020358615484105,8.21595811843872,0.6,0.1313912743513862,0.0999999999999999,0.4321684137844455,-0.0999999999999999,0.0710176091125704,0.0954011183384685,0.8913328768686523,4.267952964878635,0.7915972499899026,0.2520561375478857,0.4727262353075431,0.0936893757845486,3.133976482439317,0.0999999999999999,0.43216841378444515
