city,country,macro_region,null_type,swap_fraction,replicate,n_edges_original,n_edges_null,exact_edge_overlap,edge_jaccard,edge_turnover_share,linegraph_jaccard,path_length_ks,path_length_mean_abs_delta,lcc_curve_l2,delta_connected_components,delta_bridge_edge_share,delta_articulation_point_share,delta_largest_biconnected_node_fraction,delta_cycle_density,road_minus_null_fine,status
Nairobi,Kenya,Africa,geometry,0.005,0,28157,28157,27876,0.980237710106196,0.009979756366090164,0.9627336249502926,0.03515625,448.20703125,0.021199546471441847,15.0,0.0001775757360514274,-0.0006097560975609762,-0.003614982578397208,0.0006533101045295975,0.0,pass
Nairobi,Kenya,Africa,spatial,0.01,0,28157,28157,27628,0.9631178972320993,0.018787512874240853,0.9271530566711289,0.6640625,292.3359375,0.15132391619241228,9.0,-0.002486060304719928,-0.0016986062717769812,0.009320557491289239,0.0003919860627177585,-0.010000000000000009,pass
Nairobi,Kenya,Africa,geometry,0.01,0,28157,28157,27605,0.9615451600543383,0.019604361260077474,0.9263292880108536,0.0390625,359.02734375,0.019555282906333387,14.0,-0.0009233938274674225,-0.0003048780487804881,0.0019599303135888757,0.0006097560975609762,-0.015000000000000013,pass
Miami,United States,North America,spatial,0.005,0,28736,28736,28451,0.9803590503428552,0.009917873051224935,0.9592501106557962,0.6640625,26.10546875,0.249225416034723,0.0,-0.00010439866369710282,0.0,0.00033364844575434205,0.0,0.06999999999999995,pass
Miami,United States,North America,geometry,0.005,0,28736,28736,28452,0.9804272915230875,0.00988307349665929,0.9609019977707279,0.015625,0.50390625,0.030344017528639616,1.0,-0.00010439866369710282,0.0,0.00011121614858478068,5.560807429239034e-05,-0.030000000000000027,pass
Miami,United States,North America,spatial,0.01,0,28736,28736,28189,0.9626404398456442,0.019035356347438803,0.9234920590420387,0.8046875,31.26953125,0.3051830400479486,0.0,-0.0001739977728285047,-0.00027804037146193783,-0.0013345937830172572,0.0,0.06000000000000005,pass
Miami,United States,North America,geometry,0.01,0,28736,28736,28188,0.9625734189318399,0.01907015590200445,0.92819503969648,0.01171875,0.56640625,0.02898474160168195,0.0,-0.00010439866369710282,0.0,-0.0011121614858476958,0.0,0.010000000000000009,pass
Barcelona,Spain,Europe,spatial,0.005,0,28820,28820,28538,0.9806198886674455,0.009784871616932644,0.9617958062010873,0.65234375,16.73046875,0.17283480785223024,0.0,-0.00045107564191533556,-0.0005355039091785446,0.0016065117275355645,0.0,0.040000000000000036,pass
Barcelona,Spain,Europe,geometry,0.005,0,28820,28820,28536,0.980483782297966,0.009854267869535027,0.9616493182598826,0.0078125,0.3359375,0.02114031521931357,1.0,-0.00010409437890353951,-0.0002142015636714123,0.00037485273642490213,5.3550390917922464e-05,0.0,pass
Barcelona,Spain,Europe,spatial,0.01,0,28820,28820,28282,0.9633490019756115,0.018667591950034645,0.929746723864371,0.75390625,20.35546875,0.228841927815031,0.0,-0.00045107564191533556,-0.0006961550819321038,0.003105922673235506,0.0,0.05500000000000005,pass
Barcelona,Spain,Europe,geometry,0.01,0,28820,28820,28270,0.9625468164794008,0.01908396946564883,0.9275945057525241,0.02734375,73.453125,0.014012597030943616,3.0,-0.00017349063150589455,-0.0002142015636714123,-0.0010174574274391945,0.00016065117275354535,0.0050000000000000044,pass
Dar es Salaam,Tanzania,Africa,spatial,0.005,0,29826,29826,29535,0.980675366072318,0.009756588211627393,0.9612483311081442,0.671875,120.08984375,0.17719924350460262,2.0,-3.352779454168786e-05,-0.0006722839727500707,0.016762280387235484,8.963786303334276e-05,0.025000000000000022,pass
Dar es Salaam,Tanzania,Africa,geometry,0.005,0,29826,29826,29528,0.9802151108750498,0.009991282773419208,0.9608229189261341,0.0234375,262.3359375,0.04265121664754373,6.0,0.00010058338362500807,-0.0005826461097167279,0.009904983865184569,0.00026891358910002827,-0.05500000000000005,pass
Dar es Salaam,Tanzania,Africa,spatial,0.01,0,29826,29826,29265,0.9630763155296673,0.018809092737879674,0.928041737760861,0.7578125,37.828125,0.2166677102179588,3.0,-0.0008717226580835513,-0.0011204732879168122,0.01810684833273568,0.00013445679454998638,0.020000000000000018,pass
Dar es Salaam,Tanzania,Africa,geometry,0.01,0,29826,29826,29251,0.9621722969639157,0.019278481861463193,0.9270300406664043,0.046875,2.79296875,0.04580895810378345,7.0,0.0005699725072084716,0.00044818931516674154,-0.003495876658300534,0.0003137325206166719,-0.010000000000000009,pass
Sydney,Australia,Oceania,spatial,0.005,0,31013,31013,30714,0.9809018906489525,0.009641118240737767,0.9624427622145819,0.65234375,24.5625,0.1692297352445074,2.0,-0.0008061135652790707,-0.001080351114112088,0.004501462975467052,9.002925950934992e-05,0.03500000000000003,pass
Sydney,Australia,Oceania,geometry,0.005,0,31013,31013,30716,0.9810284254231875,0.009576629155515382,0.9629269797208728,0.015625,1.09765625,0.053321124037484666,3.0,-0.00019346725566696255,-0.000270087778528022,-0.00018005851901869985,0.00013504388926405264,-0.019999999999999907,pass
Sydney,Australia,Oceania,spatial,0.01,0,31013,31013,30419,0.9624133894390483,0.019153258311030874,0.9257163605555387,0.7578125,115.3515625,0.23635303069024274,2.0,-0.0010640699061683911,-0.001215395003376113,0.005086653162277743,9.002925950934992e-05,0.030000000000000027,pass
Sydney,Australia,Oceania,geometry,0.01,0,31013,31013,30413,0.9620409325277576,0.01934672556669781,0.9270574698722219,0.03515625,88.03515625,0.04855484796187415,7.0,-0.00016122271305582525,-0.00018005851901869985,-0.0013054242628853796,0.000315102408282697,-0.029999999999999916,pass
Amsterdam,Netherlands,Europe,spatial,0.005,0,32887,32887,32568,0.9807866048304523,0.009699881412108091,0.9612317882637796,0.53125,14.375,0.14444243934646858,2.0,-0.0015507647398668167,-0.0018964699797422435,0.020818068186716054,8.620318089735957e-05,-0.010000000000000009,pass
Amsterdam,Netherlands,Europe,geometry,0.005,0,32887,32887,32560,0.9803095080387788,0.009943138626204884,0.9618323798388108,0.015625,91.34765625,0.017450358014774223,3.0,-0.0003040715176209352,-0.0005172190853842407,0.003491228826343673,0.00012930477134603935,-0.020000000000000018,pass
Amsterdam,Netherlands,Europe,spatial,0.01,0,32887,32887,32267,0.9629928074730654,0.018852434092498593,0.9275164113785558,0.671875,18.15625,0.17302235877023717,2.0,-0.0020372791680603186,-0.0021981811128830575,0.02094737295806215,8.620318089735957e-05,-0.010000000000000009,pass
Amsterdam,Netherlands,Europe,geometry,0.01,0,32887,32887,32255,0.9622900444524002,0.019217319913643727,0.9259623662526134,0.05078125,182.7265625,0.019404092183808796,6.0,-0.00024325721409676482,-0.0001724063617947469,0.0009482349898710662,0.0002586095426920787,-0.025000000000000022,pass
Rome,Italy,Europe,spatial,0.005,0,37062,37062,36701,0.9807070518130562,0.009740434946845844,0.9643373734350841,0.77734375,32.83984375,0.179212390206275,2.0,-0.000701527170686958,-0.0007352087605928259,0.003637348605038171,7.73903958518618e-05,0.03500000000000003,pass
Rome,Italy,Europe,geometry,0.005,0,37062,37062,36708,0.9810776138550352,0.009551562247045453,0.9628932776774033,0.015625,0.5859375,0.021879246444882882,3.0,0.0002698181425719176,0.0001160855937777927,-0.0023604070734821736,0.0001160855937777927,-0.015000000000000013,pass
Rome,Italy,Europe,spatial,0.01,0,37062,37062,36352,0.9624060150375939,0.019157088122605415,0.9288845353250887,0.85546875,38.0546875,0.26043697114389397,3.0,-0.0013490907128595325,-0.0010834655419262595,0.005339937313779464,0.0001160855937777927,0.04500000000000004,pass
Rome,Italy,Europe,geometry,0.01,0,37062,37062,36365,0.9630816494080882,0.01880632453726183,0.9295697014980219,0.02734375,1.74609375,0.019634403876202033,6.0,-8.094544277156834e-05,-3.86951979259309e-05,-0.0023604070734821736,0.0002321711875555854,-0.010000000000000009,pass
Buenos Aires,Argentina,Latin America,spatial,0.005,0,37472,37472,37111,0.98091613141966,0.009633859948761758,0.962445806548064,0.703125,24.55859375,0.21232826978168204,0.0,-2.6686592655849467e-05,-4.620645042047872e-05,4.620645042041627e-05,0.0,0.06999999999999995,pass
Buenos Aires,Argentina,Latin America,geometry,0.005,0,37472,37472,37116,0.9811779634133446,0.00950042698548248,0.9636983773972534,0.01953125,84.828125,0.03639908496194554,3.0,-5.3373185311698934e-05,-0.00018482580168191487,-0.00018482580168199814,0.00013861935126147085,-0.0050000000000000044,pass
Buenos Aires,Argentina,Latin America,spatial,0.01,0,37472,37472,36772,0.9633239023367913,0.01868061485909478,0.9275204839799125,0.8203125,29.00390625,0.26897667430227845,0.0,-0.00018680614859094627,4.620645042047872e-05,0.00032344515294335796,0.0,0.06999999999999995,pass
Buenos Aires,Argentina,Latin America,geometry,0.01,0,37472,37472,36759,0.9626554929946314,0.01902754056362088,0.9297306832882513,0.02734375,1.2265625,0.033851283609331144,0.0,0.00013343296327924734,9.241290084095743e-05,0.0010165419092504901,0.0,0.015000000000000013,pass
Kampala,Uganda,Africa,spatial,0.005,0,41391,41391,40990,0.9808097243491577,0.009688096446087369,0.9604924835045235,0.73828125,189.53515625,0.20020282807163445,4.0,-0.00024159841511439684,-0.00022267375511453302,0.0012247056531299316,0.00011133687755726651,0.06499999999999995,pass
Kampala,Uganda,Africa,geometry,0.005,0,41391,41391,40981,0.9803832444199899,0.00990553501969027,0.962628532516173,0.03125,1.79296875,0.021216160661179977,14.0,-9.663936604575873e-05,-0.0001391710969466109,-0.009129623959696076,0.0003896790714504328,0.02499999999999991,pass
Kampala,Uganda,Africa,spatial,0.01,0,41391,41391,40608,0.9628681177976952,0.018917155903457328,0.9239015793759929,0.8515625,196.18359375,0.24282012669073252,15.0,-0.0015220700152207,-0.0014195451888551758,0.004369972444122849,0.0004175132908397494,0.06499999999999995,pass
Kampala,Uganda,Africa,geometry,0.01,0,41391,41391,40600,0.9624958513109857,0.019110434635548845,0.9277878852739726,0.03125,3.67578125,0.01720474941619247,21.0,0.0005073566717402334,-0.0005288501683970437,-0.00303392991343554,0.0005845186071756492,0.010000000000000009,pass
Dakar,Senegal,Africa,spatial,0.005,0,43129,43129,42709,0.9807113825805415,0.00973822717892836,0.9615642130811399,0.671875,26.91796875,0.27400915228761974,0.0,-0.00027823506225509165,-0.0002794857462269512,0.0011878144214645392,0.0,0.025000000000000022,pass
Dakar,Senegal,Africa,geometry,0.005,0,43129,43129,42720,0.9812118149662364,0.00948317837186119,0.96271406439727,0.03125,1.48828125,0.05770657627192903,1.0,-9.274502075169722e-05,-0.00017467859139183584,0.00027948574622693734,3.49357182782839e-05,-0.03499999999999992,pass
Dakar,Senegal,Africa,spatial,0.01,0,43129,43129,42320,0.9631753834949247,0.018757680447030967,0.9263376345853538,0.81640625,31.234375,0.307243881848047,0.0,-0.00018549004150339443,-0.00045416433761878705,0.0013624930128562918,0.0,0.015000000000000013,pass
Dakar,Senegal,Africa,geometry,0.01,0,43129,43129,42297,0.9621482677828075,0.019290964316353243,0.9258627773212819,0.08203125,3.7421875,0.0672672716679392,1.0,-9.274502075169722e-05,-0.00034935718278368555,0.0006987143655673433,3.49357182782839e-05,-0.019999999999999907,pass
Kuala Lumpur,Malaysia,Asia,spatial,0.005,0,50999,50999,50498,0.9805436893203884,0.009823722033765359,0.9615278029948302,0.5234375,14.21875,0.1610603446006366,0.0,-0.0010784525186768312,-0.0007255528981807424,0.011689463359578656,0.0,0.02499999999999991,pass
Kuala Lumpur,Malaysia,Asia,geometry,0.005,0,50999,50999,50493,0.9803514221920202,0.009921763171826914,0.9620340279105334,0.02734375,290.9921875,0.03223926537464606,9.0,3.9216455224616587e-05,-0.0004030849434337458,0.0037083814795905168,0.00024185096606027523,-0.015000000000000013,pass
Kuala Lumpur,Malaysia,Asia,spatial,0.01,0,50999,50999,50044,0.9632367093967741,0.018725857369752297,0.9284311791287355,0.6953125,17.83203125,0.22186279412989862,4.0,-0.002000039216455224,-0.0021766586945422273,0.017950716147582813,0.00010748931824899888,0.05499999999999994,pass
Kuala Lumpur,Malaysia,Asia,geometry,0.01,0,50999,50999,50019,0.9622924642644145,0.019216063060059962,0.926585011028204,0.02734375,1.09375,0.014601886514189007,13.0,-0.0004902056903076657,-0.0006180635799317435,0.000886786875554213,0.0003493402843092741,-0.015000000000000013,pass
Ho Chi Minh City,Vietnam,Asia,spatial,0.005,0,51958,51958,51462,0.9810881915583177,0.009546171908079604,0.9604826085296476,0.73046875,41.99609375,0.16425223441299805,2.0,-0.0031563955502521,-0.0012356051994266704,0.021227697326150374,4.942420797710012e-05,0.02499999999999991,pass
Ho Chi Minh City,Vietnam,Asia,geometry,0.005,0,51958,51958,51444,0.9804085988717792,0.009892605566034107,0.9604826085296476,0.0390625,632.28515625,0.015356537348873744,14.0,-0.00013472420031562793,-0.000444817871793568,0.0016309988632431383,0.0003459694558394788,-0.030000000000000027,pass
Ho Chi Minh City,Vietnam,Asia,spatial,0.01,0,51958,51958,50974,0.9628272449095236,0.018938373301512712,0.9217770458670959,0.8203125,48.2109375,0.21041176457033983,9.0,-0.0035605681511990395,-0.0020758167350368173,0.02545346710818952,0.00022240893589681177,0.029999999999999916,pass
Ho Chi Minh City,Vietnam,Asia,geometry,0.01,0,51958,51958,50955,0.9621230716942656,0.019304053273798027,0.9256870153857694,0.0390625,160.96484375,0.03182024283932669,24.0,-0.0030986566072596644,-0.000963772055552814,0.0033855582464290546,0.0005930904957248129,-0.030000000000000027,pass
Chennai,India,Asia,spatial,0.005,0,56880,56880,56328,0.980777267028834,0.009704641350210985,0.9601490973427006,0.81640625,46.1484375,0.28686384013424404,3.0,-0.00017580872011252469,-0.0001649231929130024,0.001036660069738904,7.068136839127881e-05,0.05499999999999994,pass
Chennai,India,Asia,geometry,0.005,0,56880,56880,56333,0.9809497274801052,0.00961673699015475,0.9624244404509067,0.0703125,3.5546875,0.02747086174136085,9.0,0.00026371308016878703,-0.00023560456130430896,-0.001225143718782351,0.00021204410517389194,0.0050000000000000044,pass
Chennai,India,Asia,spatial,0.01,0,56880,56880,55796,0.9625974742943896,0.01905766526019692,0.9248376486463692,0.84765625,50.109375,0.3234393594191805,5.0,-0.00012306610407875063,-0.0004712091226086179,0.0020261992272170293,0.00011780228065216836,0.05499999999999994,pass
Chennai,India,Asia,geometry,0.01,0,56880,56880,55795,0.9625636159751574,0.019075246132208123,0.9267551413230676,0.04296875,167.53125,0.01891803432701552,14.0,0.00010548523206752036,-0.0004712091226086179,-0.0009659787013476251,0.0003298463858260048,0.0,pass
