city,country,macro_region,n_nodes,n_edges,mean_degree,kappa,kappa_minus_1,pc_cebh,pc_nb,pc_road_rank,road_gap_cebh,road_minus_nb,nb_minus_cebh,abs_error_cebh,abs_error_nb,nb_improvement_over_cebh,rho_nb,nb_iterations,nb_converged,runtime_seconds,status,ipr_directed,top1_directed_weight_share,top5pct_directed_weight_share,node_nb_entropy,node_nb_ipr,top1_node_weight_share,top5pct_node_weight_share
Buenos Aires,Argentina,Latin America,21642,37472,3.4628962203123557,3.627321733561059,2.627321733561059,0.3806157377781841,0.33267688272420465,0.575,0.19438426222181587,0.2423231172757953,-0.047938855053979434,0.19438426222181587,0.2423231172757953,-0.047938855053979434,3.005919713480719,366,True,2.3104658126831055,pass,0.0012558866462848964,0.003664725611716556,0.9889089890898255,0.589855315599676,0.004628990910714106,0.013002479439012437,0.989534980020383
Milan,Italy,Europe,25735,38172,2.9665436176413444,3.1511055223724194,2.1511055223724194,0.4648772408417771,0.3687249294341902,0.65,0.1851227591582229,0.2812750705658098,-0.0961523114075869,0.1851227591582229,0.2812750705658098,-0.0961523114075869,2.712048793485441,204,True,2.7774903774261475,pass,0.011642861277118315,0.023397359422582687,0.9990222774709443,0.41085628902337107,0.03339374825784072,0.07095303943116889,0.9990823441703697
Hanoi,Vietnam,Asia,29320,39886,2.720736698499318,3.045128616557188,2.045128616557188,0.4889668023341342,0.34324668091259813,0.75,0.2610331976658658,0.40675331908740187,-0.14572012142153606,0.2610331976658658,0.40675331908740187,-0.14572012142153606,2.9133566487555718,74,True,2.958216905593872,pass,0.019245438968812895,0.02138884604112204,0.9998557124898768,0.2634491387997515,0.07306360906182921,0.08216732713683289,0.9998691434178649
Kampala,Uganda,Africa,35927,41391,2.3041723494864588,2.7407890604237637,1.7407890604237637,0.574452139397388,0.4049695032481094,0.825,0.2505478606026119,0.4200304967518906,-0.16948263614927866,0.2505478606026119,0.4200304967518906,-0.16948263614927866,2.469321743932254,112,True,3.766265869140625,pass,0.004233397521565982,0.008644562199833903,0.9999869187559449,0.4637384523853251,0.012668794156302433,0.02702863473315299,0.9999887809828052
Dakar,Senegal,Africa,28624,43129,3.01348518725545,3.173734610123119,2.173734610123119,0.4600377595972308,0.3565317631292726,0.7,0.23996224040276914,0.34346823687072736,-0.10350599646795822,0.23996224040276914,0.34346823687072736,-0.10350599646795822,2.8047991887820003,640,False,3.009117841720581,pass,0.0017282831321427804,0.0030329316685899638,0.9999961208213605,0.5180681307291883,0.006193672990457757,0.011097268871477892,0.9999962920518606
Dhaka,Bangladesh,Asia,35890,47996,2.6746168849261633,2.9954996249687476,1.9954996249687476,0.501127631139325,0.3759001849181792,0.725,0.22387236886067496,0.34909981508182075,-0.1252274462211458,0.22387236886067496,0.34909981508182075,-0.1252274462211458,2.6602806812070767,265,True,3.594604969024658,pass,0.0018454101451414115,0.004065014827933656,0.9999811917401761,0.5254722511983856,0.00608103481598446,0.012622852110057774,0.9999808172436853
Kuala Lumpur,Malaysia,Asia,37213,50999,2.74092387069035,3.0124708327614265,2.0124708327614265,0.4969016115517276,0.39188998948381754,0.7,0.20309838844827238,0.3081100105161824,-0.10501162206791004,0.20309838844827238,0.3081100105161824,-0.10501162206791004,2.5517365251333968,210,True,4.02620005607605,pass,0.01050019211085823,0.020645582830413844,0.9999349071650415,0.37964238180062065,0.029961660295679482,0.057690120745178625,0.999920611916449
Melbourne,Australia,Oceania,35052,51621,2.9453954125299555,3.1339764824393175,2.1339764824393175,0.4686087256486138,0.3760990766195062,0.7,0.23139127435138618,0.32390092338049375,-0.09250964902910758,0.23139127435138618,0.32390092338049375,-0.09250964902910758,2.6588738504446927,469,True,4.794942378997803,pass,0.0009066778269236755,0.0033517566046016643,0.9973052836268725,0.6024056062793033,0.0029798173622181353,0.009786472579589993,0.9981217767277744
Ho Chi Minh City,Vietnam,Asia,40466,51958,2.567982998072456,2.976481003887755,1.9764810038877552,0.5059497146863499,0.34223576058787686,0.725,0.21905028531365012,0.3827642394121231,-0.163713954098473,0.21905028531365012,0.3827642394121231,-0.163713954098473,2.9219623287824916,83,True,3.8263888359069824,pass,0.006056540065597114,0.013754772790320864,0.9996528367189418,0.4311717490174206,0.01965502613692944,0.04470087259868766,0.9997388967870054
Paris,France,Europe,36946,55181,2.987116331943918,3.202769069063627,2.202769069063627,0.453974052043998,0.35799059939842176,0.65,0.19602594795600203,0.29200940060157826,-0.09598345264557623,0.19602594795600203,0.29200940060157826,-0.09598345264557623,2.7933694395339717,108,True,4.236626386642456,pass,0.005335530626104691,0.01211407881841703,0.9994811826864154,0.4315539548754866,0.017886297172120088,0.03898459022525005,0.9994915460863544
