graph_cache_file,status,n_nodes,n_edges_simple,n_cross_pairs_poly,n_cross_pairs_chord,chi_poly,chi_chord,bridge_tunnel_tagged_edge_share,cross_pairs_with_tagged_edge_share,seconds,city,country,macro_region,mean_degree,pc_cebh,pc_rank,road_gap,anchor_pc,anchor_deviation,spatial_resid_f0.01,spatial_resid_f0.02,geom_resid_f0.01,geom_resid_f0.02,noncross_marginal_f0.01,noncross_marginal_f0.02
mumbai_india__drive_10000m.pkl,ok,18270,24999,765,1211,0.0306012240489619,0.0484419376775071,0.0225209008360334,1.0,2.0,Mumbai,India,Asia,2.7366174055829227,0.4825037154272258,0.725,0.2424962845727741,0.7308292331693268,-0.0079761904761905,0.0999999999999999,0.0999999999999999,0.0,0.0,-0.0999999999999999,-0.0999999999999999
london_united_kingdom__drive_10000m.pkl,ok,48353,62602,376,875,0.0060061978850515,0.0139771892271812,0.016021852336986,1.0,5.6,London,United Kingdom,Europe,2.589373978863773,0.5199847165924646,0.775,0.2550152834075354,0.772387463659308,0.003382416809712,0.125,0.125,0.0,0.0,-0.125,-0.125
nairobi_kenya__drive_10000m.pkl,ok,22960,28157,287,888,0.0101928472493518,0.0315374507227332,0.009589089746777,1.0,2.2,Nairobi,Kenya,Africa,2.452700348432056,0.5433092136999518,0.825,0.2816907863000482,0.8154277799481477,0.0117388937282232,0.1499999999999999,0.1499999999999999,0.0416666666666665,0.0499999999999999,-0.1083333333333333,-0.1
montreal_canada__drive_10000m.pkl,ok,20313,32065,1084,1634,0.0338063308903789,0.0509589895524715,0.0172774052705442,1.0,2.8,Montreal,Canada,North America,3.157091517747256,0.4231662575553621,0.625,0.2018337424446379,0.6334944643692498,-0.0134089007039824,0.0999999999999999,0.0999999999999999,-0.0083333333333333,-0.0166666666666666,-0.1083333333333332,-0.1166666666666665
cairo_egypt__drive_10000m.pkl,ok,118235,163341,2188,5097,0.013395289608855,0.031204657740555,0.0070466080163584,1.0,13.5,Cairo,Egypt,Africa,2.762988962659111,0.4905812814983452,0.7,0.2094187185016547,0.7238537782920393,-0.0329538630693111,0.0999999999999999,0.0999999999999999,0.0,0.0,-0.0999999999999999,-0.0999999999999999
new_york_city_united_states__drive_10000m.pkl,ok,20109,34130,1833,2496,0.0537064166422502,0.0731321418107237,0.0239964840316437,1.0,2.8,New York City,United States,North America,3.394499975135512,0.3876426827190641,0.575,0.1873573172809358,0.5891883973044242,-0.0240812571485403,0.0749999999999999,0.0749999999999999,0.0,-0.0083333333333333,-0.0749999999999999,-0.0833333333333332
prague_czechia__drive_10000m.pkl,ok,19787,27325,549,1008,0.0200914913083257,0.0368892955169258,0.0194693504117108,1.0,2.2,Prague,Czechia,Europe,2.7619143882346995,0.4768012005095185,0.7,0.2231987994904814,0.7241354071363221,-0.0333299641178552,0.0749999999999999,0.0749999999999999,-0.0166666666666666,0.0,-0.0916666666666665,-0.0749999999999999
hyderabad_india__drive_10000m.pkl,ok,98461,132094,421,1499,0.0031871243205596,0.0113479794691658,0.0032249761533453,1.0,9.3,Hyderabad,India,Asia,2.683174048608078,0.4881558622014944,0.75,0.2618441377985055,0.7453858615834179,0.0061902682280292,0.125,0.125,0.0,0.0083333333333333,-0.125,-0.1166666666666666
rio_de_janeiro_brazil__drive_10000m.pkl,ok,14909,20774,683,1328,0.0328776355059208,0.0639260614229325,0.0206989506113411,1.0,2.0,Rio de Janeiro,Brazil,Latin America,2.786773090079817,0.479348377866999,0.7,0.2206516221330009,0.7176759410801965,-0.0246294184720641,0.0999999999999999,0.0999999999999999,-0.025,-0.0083333333333333,-0.1249999999999999,-0.1083333333333332
lima_peru__drive_10000m.pkl,ok,49410,75796,480,1379,0.0063327880099213,0.0181935722201699,0.0032851337801467,0.9979166666666668,7.5,Lima,Peru,Latin America,3.068042906294272,0.4428345242198864,0.65,0.2071654757801135,0.651881365771281,-0.0028860554543616,0.0999999999999999,0.0999999999999999,0.0,0.0,-0.0999999999999999,-0.0999999999999999
quito_ecuador__drive_10000m.pkl,ok,26144,35253,345,1057,0.0097864011573483,0.0299832638357019,0.0074887243638839,1.0,2.8,Quito,Ecuador,Latin America,2.696832925336597,0.4811776588774842,0.725,0.2438223411225157,0.7416106430658385,-0.0223980645654836,0.125,0.125,0.0083333333333333,0.0166666666666666,-0.1166666666666666,-0.1083333333333333
san_francisco_united_states__drive_10000m.pkl,ok,11502,18546,683,1016,0.0368273482152485,0.0547827024695352,0.0173622344440849,1.0,1.9,San Francisco,United States,North America,3.224830464267084,0.4019767215033488,0.6,0.1980232784966512,0.6201876415399546,-0.0325508607198747,0.0749999999999999,0.0749999999999999,0.0,0.0,-0.0749999999999999,-0.0749999999999999
rome_italy__drive_10000m.pkl,ok,25843,37062,898,1482,0.0242296692029572,0.0399870487291565,0.0222599967621822,1.0,2.8,Rome,Italy,Europe,2.868242851062184,0.4705329710788918,0.675,0.2044670289211081,0.6972910258485779,-0.0319680377665129,0.075,0.075,-0.0249999999999999,-0.0083333333333333,-0.0999999999999999,-0.0833333333333333
