predictor,phi_left,phi_right,unsafe,conservative
CEBH,0.4955494075900643,0.4969213271629147,0.8591549295774648,0.0
CEBH,0.4969213271629147,0.498872368860675,0.8450704225352113,0.0
CEBH,0.498872368860675,0.501551080498449,0.8309859154929577,0.0
CEBH,0.501551080498449,0.5030983884482725,0.8169014084507042,0.0
CEBH,0.5030983884482725,0.5044838513923537,0.8028169014084507,0.0
CEBH,0.5044838513923537,0.5046630980630208,0.7887323943661971,0.0
CEBH,0.5046630980630208,0.5063600979093936,0.7746478873239436,0.0
CEBH,0.5063600979093936,0.5088802010611562,0.7605633802816901,0.0
CEBH,0.5088802010611562,0.5091388324763428,0.7464788732394366,0.0
CEBH,0.5091388324763428,0.5094187185016548,0.7323943661971831,0.0
CEBH,0.5094187185016548,0.5110331976658657,0.7183098591549296,0.0
CEBH,0.5110331976658657,0.5118441377985057,0.704225352112676,0.0
CEBH,0.5118441377985057,0.512375954879703,0.6901408450704225,0.0
CEBH,0.512375954879703,0.5127036751881591,0.676056338028169,0.0
CEBH,0.5127036751881591,0.5174962845727742,0.6619718309859155,0.0
CEBH,0.5174962845727742,0.517725810542052,0.647887323943662,0.0
CEBH,0.517725810542052,0.5188223411225158,0.6338028169014085,0.0
CEBH,0.5188223411225158,0.519806770158938,0.6197183098591549,0.0
CEBH,0.519806770158938,0.5199203187250996,0.6056338028169014,0.0
CEBH,0.5199203187250996,0.520651622133001,0.5915492957746479,0.0
CEBH,0.520651622133001,0.5231987994904814,0.5774647887323944,0.0
CEBH,0.5231987994904814,0.5294670289211082,0.5633802816901409,0.0
CEBH,0.5294670289211082,0.5295443592892564,0.5492957746478874,0.0
CEBH,0.5295443592892564,0.5310354620774781,0.5352112676056338,0.0
CEBH,0.5310354620774781,0.5313912743513862,0.5211267605633803,0.0
CEBH,0.5313912743513862,0.5331795684974292,0.5070422535211268,0.0
CEBH,0.5331795684974292,0.533319142897687,0.49295774647887325,0.0
CEBH,0.533319142897687,0.5334371144921578,0.4788732394366197,0.0
CEBH,0.5334371144921578,0.5348224633863661,0.4647887323943662,0.0
CEBH,0.5348224633863661,0.5351227591582228,0.4507042253521127,0.0
CEBH,0.5351227591582228,0.5370018730220242,0.43661971830985913,0.0
CEBH,0.5370018730220242,0.5386966149952546,0.4225352112676056,0.0
CEBH,0.5386966149952546,0.5399622404027692,0.4084507042253521,0.0
CEBH,0.5399622404027692,0.5401172715801975,0.39436619718309857,0.0
CEBH,0.5401172715801975,0.5456594220795259,0.38028169014084506,0.0
CEBH,0.5456594220795259,0.545749404902766,0.36619718309859156,0.0
CEBH,0.545749404902766,0.546025947956002,0.352112676056338,0.0
CEBH,0.546025947956002,0.5474532431356944,0.3380281690140845,0.0
CEBH,0.5474532431356944,0.5483346100630051,0.323943661971831,0.0
CEBH,0.5483346100630051,0.5496750232126277,0.30985915492957744,0.0
CEBH,0.5496750232126277,0.55,0.29577464788732394,0.0
junction,0.15,0.1775,0.014084507042253521,0.0
junction,0.1775,0.21999999999999997,0.028169014084507043,0.0
junction,0.21999999999999997,0.22499999999999998,0.04225352112676056,0.0
junction,0.22499999999999998,0.23749999999999993,0.056338028169014086,0.0
junction,0.23749999999999993,0.25,0.07042253521126761,0.0
junction,0.25,0.25749999999999995,0.08450704225352113,0.0
junction,0.25749999999999995,0.26749999999999996,0.09859154929577464,0.0
junction,0.26749999999999996,0.275,0.11267605633802817,0.0
junction,0.275,0.27749999999999997,0.1267605633802817,0.0
junction,0.27749999999999997,0.2825,0.15492957746478872,0.0
junction,0.2825,0.28500000000000003,0.19718309859154928,0.0
junction,0.28500000000000003,0.29000000000000004,0.22535211267605634,0.0
junction,0.29000000000000004,0.2925,0.2535211267605634,0.0
junction,0.2925,0.29500000000000004,0.28169014084507044,0.0
junction,0.29500000000000004,0.2975,0.323943661971831,0.0
junction,0.2975,0.29999999999999993,0.352112676056338,0.0
junction,0.29999999999999993,0.3025,0.38028169014084506,0.0
junction,0.3025,0.30499999999999994,0.4225352112676056,0.0
junction,0.30499999999999994,0.3125,0.43661971830985913,0.0
junction,0.3125,0.31499999999999995,0.4507042253521127,0.0
junction,0.31499999999999995,0.3175,0.4647887323943662,0.0
junction,0.3175,0.32499999999999996,0.49295774647887325,0.0
junction,0.32499999999999996,0.3275,0.5633802816901409,0.0
junction,0.3275,0.32999999999999996,0.5915492957746479,0.0
junction,0.32999999999999996,0.33499999999999996,0.6056338028169014,0.0
junction,0.33499999999999996,0.3375,0.6197183098591549,0.0
junction,0.3375,0.33999999999999997,0.6338028169014085,0.0
junction,0.33999999999999997,0.3425,0.647887323943662,0.0
junction,0.3425,0.345,0.676056338028169,0.0
junction,0.345,0.34750000000000003,0.6901408450704225,0.0
junction,0.34750000000000003,0.35,0.7183098591549296,0.0
junction,0.35,0.35250000000000004,0.7323943661971831,0.0
junction,0.35250000000000004,0.355,0.7605633802816901,0.0
junction,0.355,0.35573235070614173,0.7746478873239436,0.0
junction,0.35573235070614173,0.35750000000000004,0.7605633802816901,0.0
junction,0.35750000000000004,0.35945421887280027,0.7746478873239436,0.0
junction,0.35945421887280027,0.3601933938145021,0.7605633802816901,0.0
junction,0.3601933938145021,0.3640737209714524,0.7464788732394366,0.0
junction,0.3640737209714524,0.36450970121884085,0.7323943661971831,0.0
junction,0.36450970121884085,0.36454413661049445,0.7183098591549296,0.0
junction,0.36454413661049445,0.365,0.704225352112676,0.0
junction,0.365,0.36562553929522157,0.7183098591549296,0.0
junction,0.36562553929522157,0.3659403131908554,0.704225352112676,0.0
junction,0.3659403131908554,0.36609370862286406,0.6901408450704225,0.0
junction,0.36609370862286406,0.3664646463571538,0.676056338028169,0.0
junction,0.3664646463571538,0.3669277812140991,0.6619718309859155,0.0
junction,0.3669277812140991,0.36732447197175,0.647887323943662,0.0
junction,0.36732447197175,0.36795759974739617,0.6338028169014085,0.0
junction,0.36795759974739617,0.3680213173026091,0.6197183098591549,0.0
junction,0.3680213173026091,0.3681322471610923,0.6056338028169014,0.0
junction,0.3681322471610923,0.3682206961629175,0.5915492957746479,0.0
junction,0.3682206961629175,0.36867263135247086,0.5774647887323944,0.0
junction,0.36867263135247086,0.36933140835502465,0.5633802816901409,0.0
junction,0.36933140835502465,0.36967374525111896,0.5492957746478874,0.0
junction,0.36967374525111896,0.37006599848026966,0.5352112676056338,0.0
junction,0.37006599848026966,0.37046186900517686,0.5211267605633803,0.0
junction,0.37046186900517686,0.37249999999999994,0.5070422535211268,0.0
junction,0.37249999999999994,0.3732465733875592,0.5211267605633803,0.0
junction,0.3732465733875592,0.3735567699811737,0.5070422535211268,0.0
junction,0.3735567699811737,0.3740898206892541,0.49295774647887325,0.0
junction,0.3740898206892541,0.3747213956444335,0.4788732394366197,0.0
junction,0.3747213956444335,0.375,0.4647887323943662,0.0
junction,0.375,0.3751357866328602,0.4788732394366197,0.0
junction,0.3751357866328602,0.3753165833771649,0.4647887323943662,0.0
junction,0.3753165833771649,0.3753687677475839,0.4507042253521127,0.0
junction,0.3753687677475839,0.37586896865613884,0.43661971830985913,0.0
junction,0.37586896865613884,0.37593903197424194,0.4225352112676056,0.0
junction,0.37593903197424194,0.37606273334048523,0.4084507042253521,0.0
junction,0.37606273334048523,0.37662148417302777,0.39436619718309857,0.0
junction,0.37662148417302777,0.37669157683943866,0.38028169014084506,0.0
