domain,instance,n_nodes,n_edges,input_hash,pc_nonbacktracking_checked,rho_lr,relative_eigen_residual,pc_nonbacktracking,absolute_check_difference
road,Seattle,17570,26501,49de4295ad5a4a67f30bef7ce88f0d68abdbc76127e2c8b428495766a106997c,0.3517632025232869,2.8428215140945543,9.257343250957811e-10,0.3517632025258865,2.599587212159804e-12
road,Seoul,50914,76060,28613ed519fdcb353693f7186775e7ab7e21e61a60ec9c5a88d9cd9a2485ea67,0.3709977389989352,2.695434216656696,1.1677735966811083e-09,0.3709977389908357,8.099465542699136e-12
road,Singapore,13478,19430,6dbd2f1c403e04188df631f9bea5b7e958698cd051a6bee3adaa5b6ead8b3572,0.4082427085201737,2.449523234903249,1.4550083743582415e-09,0.4082427085215113,1.3375967000683886e-12
road,Sydney,22215,31013,f353556b450891524e6a7f264edcd83c15c72d163c28cddb4faf1861ee441b95,0.3736943262778711,2.6759838982848816,7.123306214931111e-10,0.3736943262858676,7.996492357165152e-12
road,Taipei,16388,24900,310800963b10da8c0b94671f9f037020e1d31ab8be108ba2aabf497426d344eb,0.3458895141973313,2.891096604418878,1.609240479762669e-09,0.3458895141982296,8.982814492242142e-13
road,Tehran,85612,108037,aade61c16f52640e8fe72184ac08ff6e1230f57f6c2b62218fe0711186df012a,0.367773676890522,2.719063551407127,1.01709743541634e-09,0.3677736768925504,2.0284329771413923e-12
road,Tel Aviv,21205,30263,9f1314703ee8971beeaaeefc0921c057ca266dbb7be2bb3dba804128bde66006,0.3986566357015631,2.5084243191893245,7.715797178087281e-10,0.3986566357017453,1.821875983409882e-13
road,Tokyo,62113,98086,15cfd4fa93fec7c9f390f2faaa129638816fdfccb3ee81702a7920d7ebae4d36,0.3606809074825752,2.772533780564226,8.903237400477593e-10,0.3606809074834553,8.801293027715928e-13
road,Toronto,12443,18430,4200b36ec2997344a60524e4d4862d268a60559a81e548bd471fe33fdad07d94,0.3770531221832049,2.6521461862185927,1.942596687557314e-09,0.3770531221767562,6.448730438535222e-12
road,Tunis,46721,67495,35e3364d1fcc0403e4638f4679bcc028c574cc7b0022685dce9d8b812e3b82f7,0.3797012751463684,2.6336493065884934,8.95207127822872e-10,0.379701275147661,1.2925771564198385e-12
road,Vancouver,14876,22751,68bd74e36d2e9d7613baac0ed29ae6a4750ab861d07e760be6d7fd4111241454,0.3566906901187842,2.803549483354844,2.278021083675053e-09,0.3566906901200258,1.2416179195895438e-12
road,Vienna,17629,26142,8b68b8dd113f31905448268df59026a70688fb0f7528e92a635f9fc598b0d79f,0.3180432369294765,3.144226582694924,1.688044994654678e-09,0.3180432369241895,5.286993065567458e-12
road,Warsaw,17582,24341,afc7445d54d624eecd37e4237c8a75938282f861f476831d8a7728a415c87fae,0.3999705405469818,2.500184135142665,1.7993730597973064e-09,0.3999705405468777,1.0408340855860843e-13
water,Net3,97,119,d54b7bd1708d6b9bf744d9ae3fa11390398871b84cd0c8df38f4473aadc59efc,0.5346396111379078,1.8704188376009696,1.5683963385198911e-09,0.534639611068046,6.986178302526014e-11
water,Net6,3356,3830,ff1718e77cd7ee289770e36535c35daacaadfb0f97fc1b7c54aff465cc26395a,0.567715397023229,1.761445973182023,1.7152608618280363e-09,0.5677153969848678,3.8361203102965646e-11
water,ky10,935,1059,eaa7837d92087407f1845d0f37540495590849e2b79364da83864d999f9185da,0.4753488021802205,2.1037183546343865,5.11229737756025e-10,0.4753488021775284,2.692124301262311e-12
water,ky4,964,1137,9ffe690e568e0070affcf90df7d756ed8b4a78bbd90a54ef83a5421810bef117,0.5159312414926907,1.9382427726353677,1.9381343006012807e-10,0.5159312414933132,6.225020499073253e-13
