cohort,domain,instance,system_id,snapshot_name,snapshot_format,snapshot_sha256,ordered_edges_sha256,n_nodes,n_edges,input_hash,seed,n_orders,n_bootstrap,p_step,method_version
reference,road,Lagos,Lagos,road_Lagos.npz,npz,17d45833df4f366621af2d097d36ad3cc2fda9a6f1d6385cb23617032ca951b6,3cd06ca4f686ac515ff7d1a2ba1ff7684fc3627608dde9657de4545401075724,13226,17952,c2a9d25f86f9b3ca4fd33a84ae643503972c6868a893966ba48b9e5af72f2436,20287610,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Lima,Lima,road_Lima.npz,npz,bda100542d14e90b64b4f15a13af02bdf7f44b5fc91809b2bd3de33c98d65b69,b15c9d101a2ade6fa3528e5f112e7d33a6103a6c233082e845f08c69c6b67149,49410,75796,b12039ffd98f2fe4818b976b056335d9772a079095451454f90b51260e99343a,20285416,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Lisbon,Lisbon,road_Lisbon.npz,npz,540eef8d47f8f8a70bf47b771a05c8c379190c6a0a9c07c79aa1f0ad7b74e596,97a47025ad777808c9dddda43316125af1c93f2b81ed17385edbdf5dec53700b,26686,36745,488bc6782067aa70f97242af41f9389b8b68e3725d7fcf1e2633d3e5eae2343f,20289837,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,London,London,road_London.npz,npz,87efdda2d97eeed92a5ec49eef8a90e1bd365ae5629758e119ac75d4873703df,969d231b1685368ef3ca5b6a67902d347b7863348075c342efc5add7a50a4e7a,48353,62602,8f49355676baa87af47d44e42bfbf0f77547d73bc9a1e8dfbc595d3458d54992,20289857,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Los Angeles,Los Angeles,road_Los_Angeles.npz,npz,7493c59fdc3e036aa52decec7831e3ae1ab566fbb4fc42cc6df08c847970fa4e,e62fef1d6ea205656850374bbd0709fd93f39d5d96533c67520fdb2f2e5b5224,22280,34611,219b208ac41716e10e50a12f340935f4a88b22a4a28fb7b189651f09e882a4de,20301671,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Manila,Manila,road_Manila.npz,npz,415937e8807f2e4e4f91af6e2570ef8f045eb33e9b917f111f7b19e4b4843eae,2867aa0084ec156fe05f64427bee416dfc11fc5a930a2e0ee4305f1a34e6cb20,25142,36895,7645e8072f89f7935b5e2be2cde714a704cf2c1665b04dda8aaa69a16c1ce922,20289637,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Melbourne,Melbourne,road_Melbourne.npz,npz,1d67e580bc1dba1dafec23fedcfcce1c285cdcc1728e30c8048fe94e7f5018a6,d32608cf31e5f1cc962da89027a3861db8e33978d8ee00305b8018692ad3b37c,35052,51621,b1949e34636d16072868fc476e33eed55b5af66885f7558fdf14b8a00254fe6f,20297114,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Mexico City,Mexico City,road_Mexico_City.npz,npz,b73f3236bed749fee6d70390c0f6e619efcb77a3da1e5e52b5bcd499b675097a,ffa5a8654d3d5d91aaaa05113f69d58f2757f5c4e55b89885ece26c856973299,59012,90635,5ddbbd7846d723b1f438609e14bcf42b2e49075c3d4d3015c000115028bbeb71,20301736,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Miami,Miami,road_Miami.npz,npz,407be4d87c13132cf516582015a10f513fa5efe2734bafc33c27d8af6b2e5835,e722563dc5d1e15fa4544962ddc27143d683d9879a6dcca54781ebd82a662c04,17983,28736,fd21fa456eaea9f49daad4426115d8267bc44b46bbe9b58a5a39830d12f1f831,20287506,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Milan,Milan,road_Milan.npz,npz,0b238e5becad707cf499a923b017c97679f90620bc642dc5dde555edf7b62057,5e471d5b98e207f7ad26af442770ed143c97015223c44934190ef36bc0079137,25735,38172,8a510eeeeababe0918e84b94fdeca1af18464ce1e32ea599801b1d50b4e41370,20287536,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Montevideo,Montevideo,road_Montevideo.npz,npz,39b89bf8b77496c518ff88998a0fd192aa141132be00dd10365c76e33a190e3d,e98aa52d5a2ddc0fada61379cf0bc63aba9342ae344b139e6dedf08ef8279611,13761,22450,9ee40968652a95a09602706106415494c580fdffdece75f26c0056f87a424058,20299722,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Montreal,Montreal,road_Montreal.npz,npz,1640eb6f260741f3045b47dc46a490d6c2008662c0ed4808dd1c653bcd340c19,ed1ea1af49a136c09e37b1fbe675ce727a3addea496d3055846046d7e938921b,20313,32065,fa016fc802965ee9056d5b0f9428501b44c2fee6cc23f869d0f1455a654ec912,20294550,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Mumbai,Mumbai,road_Mumbai.npz,npz,55a0332b67eb047b7128944e5f837ff3ab6415e103b7d0ed67e5a61ab6617dfe,e27518c99a93b233a5f1ce2f1556bac1ae2424b94f5e1db6acd5395cef5551f9,18270,24999,9ca15f4021afcac446dbb4da5ffb94e7ec8bd8300ccdfc7eaecd6101b5b8879c,20289684,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Nairobi,Nairobi,road_Nairobi.npz,npz,3c55859481d114651bd2ca49fd017e7b553217d5fb911afd7119091711eb6b3e,d0589580cd90213b177836f4b833a36b5feb6d994cb2c393f5b55471acfc098b,22960,28157,2cbde71d4249347843419c9eefe485c3d86aa4ed6a5930244faa1b08f879ae2e,20292007,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,New York City,New York City,road_New_York_City.npz,npz,fbf929ff88013a15c7a03310a109b0b479954aa1c4eaf79d1b850a57492f91bd,5c521404229b7969b1b398d3f6ec268a04fe86f7bed64933c8a4a57a1d4ab921,20109,34130,75627dcff916b66ff0d79a50d0661574e261bee71a3917348d72190e1cc209cd,20307046,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Osaka,Osaka,road_Osaka.npz,npz,9aa78724510b92e4c6f245c799b24a0fe61486d6b6b72539b3f7e4f09619e58d,c2c8834f93727889103fa01427ea43313c893dc803fd0c606b86ba148f708a0b,92460,138690,8716f7da01a6ea100c83066836fea709c34b406534acc56a2f284e9c2ad9c7db,20287490,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Panama City,Panama City,road_Panama_City.npz,npz,b0d859e86ecd8e5b0774edef87aa83e0b7c20f938d710d8d9e6fbed9ee1b9e15,f9edb7d63234962b01b90e52a94009be71e1824f674d8168ae40698e906327af,9245,12302,93bf1c32dfc9bec7d8b42660f7eaf8b0006c7b55199906746005ba302a9e1526,20301520,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Paris,Paris,road_Paris.npz,npz,c0bec782e80aac33105798b5905adcb9411b2062849911e15a39857fa31e94bb,55fd1e9f163566db0e5fc13132fc37eaf5daa880398cf38d782c037cc422f9a3,36946,55181,0fe84770577f910adb2fe64426447e4fa469ba5466935ff09e61d0ff2168942a,20287668,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Prague,Prague,road_Prague.npz,npz,445ab061ca43ca06e17206e8c908c5f6cbc5fd0c30cbb58253c0b97ec3ac4cea,ee35eea0a34c9d022334b4f19312afdffaf359a1fbd67feb5139b2dae077dfd9,19787,27325,8feb933105574b153905c5850a1837bc2842d9b0f9161c744cc11c708e4a5e38,20289786,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Quito,Quito,road_Quito.npz,npz,44be5d84d237658a07d8394b64de9fceaea520d5dec3e80f4a419d9e6e1087d0,b8ecec1f80243554e000aec4952113b0b97c40fd8ee93f4926fba112abac9ea9,26144,35253,b2a5f5615b2bac039babb0f6a8ec841b36de81f1eab4f6b184ab6e7f0ea38b26,20287801,8192,1000,0.0025,canonical_v2_exact_endpoint
