domain,instance,system_id,n_nodes,n_edges,mean_degree,pc_cebh,pc_dimension,pc_junction_anchor,pc,pc_low,pc_high,point_endpoint,bootstrap_endpoint_count,p_step,n_orders,n_bootstrap,mean_curve_p0,mean_curve_p1,exact_endpoint_slope,largest_component_bridges,method_version,input_hash,kind,replicate,n_swaps,degree_sequence_exact,realization_hash,seed
road,Lagos,Lagos,13226,17952,2.7146529562982007,0.4953369019369792,0.7367424242424242,0.6306685916449754,0.5275,0.5225,0.5325,False,0,0.0025,256,1000,7.560864962951764e-05,0.9851050960229846,0.2194919098744896,2550,canonical_v2_exact_endpoint,c2a9d25f86f9b3ca4fd33a84ae643503972c6868a893966ba48b9e5af72f2436,degree,1,35904,True,053b3a2b5b05ef9949c6f873fca75766451c22d9f69fc7e84abcb4ccd09235a9,20283136
road,Lagos,Lagos,13226,17952,2.7146529562982007,0.4953369019369792,0.7367424242424242,0.6306685916449754,0.525,0.52,0.53,False,0,0.0025,256,1000,7.560864962951764e-05,0.9844246181763197,0.2208528655678209,2546,canonical_v2_exact_endpoint,c2a9d25f86f9b3ca4fd33a84ae643503972c6868a893966ba48b9e5af72f2436,degree,2,35904,True,42e4e6a43323aeee2ccde7817f73cce33e236e9b8b3a59520ee276a769ad0c2a,20283155
road,Lagos,Lagos,13226,17952,2.7146529562982007,0.4953369019369792,0.7367424242424242,0.6306685916449754,0.5225,0.52,0.53,False,0,0.0025,256,1000,7.560864962951764e-05,0.984953878723726,0.2194919098744896,2541,canonical_v2_exact_endpoint,c2a9d25f86f9b3ca4fd33a84ae643503972c6868a893966ba48b9e5af72f2436,degree,3,35904,True,3201565af33a1487a1982abc2824a683b28255cf11d7e8c43f394eb39f6e22cd,20283174
road,Lima,Lima,49410,75796,3.068042906294272,0.4428345242198864,0.6518813657712809,0.6125704528909682,0.4625,0.4575,0.465,False,0,0.0025,256,1000,2.023881805302571e-05,0.9977332523780612,0.0844363489172232,4016,canonical_v2_exact_endpoint,b12039ffd98f2fe4818b976b056335d9772a079095451454f90b51260e99343a,degree,0,151592,True,53cddf994cc413f8893ff152975e6c4d1897cd065e6a9c32aeb2a98c8782c6d1,20281161
road,Lima,Lima,49410,75796,3.068042906294272,0.4428345242198864,0.6518813657712809,0.6125704528909682,0.46,0.4575,0.4625,False,0,0.0025,256,1000,2.023881805302571e-05,0.9971058490184176,0.0839303784658976,3986,canonical_v2_exact_endpoint,b12039ffd98f2fe4818b976b056335d9772a079095451454f90b51260e99343a,degree,1,151592,True,41ae891c2fd5a1e83db0b8846cab33a67934bb5b1e34fe4b09eff7195eeb1450,20281179
road,Lima,Lima,49410,75796,3.068042906294272,0.4428345242198864,0.6518813657712809,0.6125704528909682,0.46,0.46,0.4625,False,0,0.0025,256,1000,2.023881805302571e-05,0.9983404169196516,0.0855494839101396,4052,canonical_v2_exact_endpoint,b12039ffd98f2fe4818b976b056335d9772a079095451454f90b51260e99343a,degree,2,151592,True,7e8caaa8ca72f5b78119fe39d4c6e0f7207e624f278c5bf05e7b250a7fa46637,20281197
road,Lima,Lima,49410,75796,3.068042906294272,0.4428345242198864,0.6518813657712809,0.6125704528909682,0.4625,0.4575,0.465,False,0,0.0025,256,1000,2.023881805302571e-05,0.9979761181946976,0.0860554543614652,4050,canonical_v2_exact_endpoint,b12039ffd98f2fe4818b976b056335d9772a079095451454f90b51260e99343a,degree,3,151592,True,45ecc5ae714953e969fbfb454fed7ca10d678b7232ec931f185a869b70cbe968,20281215
road,Lisbon,Lisbon,26686,36745,2.7538784381323542,0.4955161486076462,0.7262484691794802,0.63267552802825,0.5175,0.515,0.5275,False,0,0.0025,256,1000,3.747283219665742e-05,0.9901446451322792,0.1830547852806715,4231,canonical_v2_exact_endpoint,488bc6782067aa70f97242af41f9389b8b68e3725d7fcf1e2633d3e5eae2343f,degree,0,73490,True,fde1a6e64806842459914cfed0ab2110c64773da9fbd3ee75bb4f2debd686ebe,20285106
road,Lisbon,Lisbon,26686,36745,2.7538784381323542,0.4955161486076462,0.7262484691794802,0.63267552802825,0.5175,0.515,0.525,False,0,0.0025,256,1000,3.747283219665742e-05,0.9896200254815262,0.1795698118863823,4200,canonical_v2_exact_endpoint,488bc6782067aa70f97242af41f9389b8b68e3725d7fcf1e2633d3e5eae2343f,degree,1,73490,True,04926b7843e79cf68a8e55b0cb898da9d4aa63f47fa34ce0e84ebda626f34e1d,20285126
road,Lisbon,Lisbon,26686,36745,2.7538784381323542,0.4955161486076462,0.7262484691794802,0.63267552802825,0.52,0.52,0.5225,False,0,0.0025,256,1000,3.747283219665742e-05,0.9908566289440158,0.182455219965525,4243,canonical_v2_exact_endpoint,488bc6782067aa70f97242af41f9389b8b68e3725d7fcf1e2633d3e5eae2343f,degree,2,73490,True,a9b3958f9ec54d4f6fe0c4c77dcd71842685127ec713c5143b2338dd14d85c73,20285146
