city,country,macro_region,n_nodes,n_edges,rho_nb,pc_nb,road_minus_nb,ipr_directed,top1_directed_weight_share,top5pct_directed_weight_share,node_nb_entropy,node_nb_ipr,top1_node_weight_share,top5pct_node_weight_share,dead_end_share,cycle_density,degree4plus_share,orientation_entropy
Lima,Peru,Latin America,49410,75796,2.8170436588141805,0.3549820738031957,0.2950179261968043,0.0009220435648821,0.0020513625077234,0.9986971250957848,0.5725080914078049,0.0032460912154841,0.0076136014012693,0.9989461073470832,0.0817041084800647,0.5340416919651892,0.2385144707549079,0.983948613050614
Seoul,South Korea,Asia,50914,76060,2.695282277614161,0.3710186529646871,0.3039813470353129,0.0042135103442827,0.0076375010353377,0.9998312118447068,0.4491625535732991,0.0139004152392988,0.0267302823249381,0.9998136162300078,0.1056487410142593,0.4939113014102211,0.2066229327886239,0.996849950211142
Sao Paulo,Brazil,Latin America,51289,77333,2.7641748973280835,0.3617716089407452,0.3132283910592548,0.0011621273761731,0.0020904337453444,0.9994832545755766,0.5362683426337371,0.0041085462434617,0.0075351025778707,0.999539774527232,0.0883425295872409,0.5078086919222445,0.2048197469242917,0.9988575536175796
Karachi,Pakistan,Asia,52156,78992,2.960853972585461,0.3377403982969093,0.3372596017030907,0.0100136063373494,0.0178039391589161,0.999988258646512,0.3638207736545568,0.0308319869711234,0.0565736469445047,0.9999882933813494,0.0978794386072551,0.5145524963570826,0.2322455709793695,0.970107723110378
Riyadh,Saudi Arabia,Middle East,52112,79423,3.169942797028707,0.3154631058129293,0.3595368941870707,0.0104848799934373,0.0177736482044175,0.9999974455278176,0.3594286238855599,0.0348849851665675,0.0643902849856981,0.9999959962538466,0.0355196499846484,0.5241019342953638,0.1288378876266503,0.8824788417924622
Delhi,India,Asia,59302,85866,2.6632819199481004,0.3754765849270238,0.3245234150729761,0.0015984047454957,0.0037241321111529,0.9999953056484424,0.5120261522311645,0.0052932841034681,0.0129612339807171,0.9999946048431496,0.1277191325756298,0.4479612829246905,0.1665879734241678,0.9942958043482696
Santiago,Chile,Latin America,60718,88302,2.8566372704866683,0.3500619453269389,0.2999380546730611,0.001267439512545,0.0023408469163869,0.999988478515066,0.5166419167740737,0.0046567047506979,0.0088642361088671,0.9999913569031916,0.1531671003656247,0.4543133831812642,0.2234922098883362,0.9423637772679254
Athens,Greece,Europe,54827,88593,2.857166908604245,0.3499970537207817,0.2750029462792183,0.0005969611939617,0.0013445321082132,0.9985438649824252,0.5996031807175225,0.0021951009828294,0.0050542461294388,0.99880862763963,0.0637277253907746,0.6158826855381473,0.3600598245390045,0.9829915317457362
Mexico City,Mexico,Latin America,59012,90635,3.008975781216233,0.3323389992842675,0.2926610007157325,0.0019308090858571,0.0054885432186864,0.9997163443380082,0.5042472694371526,0.0066902968162265,0.018944420477327,0.9998062319688262,0.119162204297431,0.5358910052192775,0.3192571002507964,0.9126168741449048
Tokyo,Japan,Asia,62113,98086,2.772532855941879,0.3606810277673993,0.2643189722326006,0.0027904632805063,0.0094150677391105,0.9960729610916454,0.4997963692812121,0.008752419400452,0.0288465830664696,0.996186647884926,0.0624506947015922,0.5791702220147151,0.2937227311512888,0.9825769867269988
Tehran,Iran,Middle East,85612,108037,2.718573480367854,0.3678399746122325,0.3321600253877674,0.0016801016521293,0.0038408829583181,0.999995988628528,0.4863183328192909,0.005692665746523,0.0124317712209727,0.9999961397853928,0.2975634256879876,0.2619492594496099,0.1263023875157688,0.9469451952344512
Hyderabad,India,Asia,98461,132094,2.7248388413126183,0.3669941813946973,0.3830058186053026,0.0027224313676522,0.0046516185577185,0.999999999895801,0.4306823892431193,0.0094321239502331,0.0164092520993072,0.999999999711124,0.2298473507276993,0.3415971806095814,0.1505367607479103,0.9205468695852984
Bengaluru,India,Asia,101357,136603,2.7113487877034337,0.3688201254428132,0.3311798745571867,0.002314642028027,0.0044382047278203,0.9999987895811608,0.4578790832110939,0.0077451311677058,0.0158663642116513,0.9999989397769192,0.2230137040362284,0.3477510186765591,0.1478042957072526,0.8793845245206297
Osaka,Japan,Asia,92460,138690,2.9268250400303413,0.3416671602582822,0.2833328397417177,0.0085914585933092,0.016242924871382,0.9999763932347934,0.3644638882115386,0.027785446282866,0.0532193487663048,0.9999742755443872,0.1116699113130002,0.5000108154877785,0.2326411421155094,0.909142951255676
Cairo,Egypt,Africa,118235,163341,2.805254798002536,0.356473857815712,0.3435261421842879,0.0022649672572455,0.0038121139255831,0.999999999995464,0.4350925630494877,0.0080375414275358,0.014048596334833,0.9999999999959251,0.1735272973315854,0.3815029390620374,0.1149067534993868,0.9653518722228152
